cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:2.3755, Accuracy:0.4235, F1:0.4433, Precision:0.4245, Recall:0.4639                || Val - Loss:1.5166, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:1.8920, Accuracy:0.4643, F1:0.3713, Precision:0.4429, Recall:0.3196                || Val - Loss:1.3102, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:2
Train - Loss:1.8313, Accuracy:0.5102, F1:0.3766, Precision:0.5088, Recall:0.2990                || Val - Loss:1.3436, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:3
Best F1 model updated:  tensor(0.8824, device='cuda:0')
Train - Loss:1.7612, Accuracy:0.6531, F1:0.5952, Precision:0.7042, Recall:0.5155                || Val - Loss:0.9243, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:4
Best F1 model updated:  tensor(0.9000, device='cuda:0')
Train - Loss:1.5786, Accuracy:0.7806, F1:0.7725, Precision:0.7935, Recall:0.7526                || Val - Loss:0.7117, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:5
Best F1 model updated:  tensor(0.9444, device='cuda:0')
Train - Loss:1.3448, Accuracy:0.8010, F1:0.7746, Precision:0.8816, Recall:0.6907                || Val - Loss:0.6344, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:6
Train - Loss:1.2785, Accuracy:0.7908, F1:0.7630, Precision:0.8684, Recall:0.6804                || Val - Loss:0.7298, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:7
Train - Loss:1.4618, Accuracy:0.8214, F1:0.8293, Precision:0.7870, Recall:0.8763                || Val - Loss:0.7121, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:8
Train - Loss:1.3642, Accuracy:0.7806, F1:0.7839, Precision:0.7647, Recall:0.8041                || Val - Loss:0.6409, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:9
Train - Loss:1.1532, Accuracy:0.8214, F1:0.8128, Precision:0.8444, Recall:0.7835                || Val - Loss:0.6744, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:10
Train - Loss:1.5722, Accuracy:0.7347, F1:0.7426, Precision:0.7143, Recall:0.7732                || Val - Loss:0.7995, Accuracy:0.9000, F1:0.8947, Precision:0.8947, Recall:0.8947 Epoch:11
Train - Loss:1.3457, Accuracy:0.7806, F1:0.7456, Precision:0.8750, Recall:0.6495                || Val - Loss:0.6133, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:12
Train - Loss:1.2381, Accuracy:0.8061, F1:0.7979, Precision:0.8242, Recall:0.7732                || Val - Loss:0.5208, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:13
Best F1 model updated:  tensor(0.9474, device='cuda:0')
Train - Loss:1.5101, Accuracy:0.7959, F1:0.8148, Precision:0.7395, Recall:0.9072                || Val - Loss:0.6288, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:14
Best F1 model updated:  tensor(0.9730, device='cuda:0')
Train - Loss:1.1407, Accuracy:0.8061, F1:0.7912, Precision:0.8471, Recall:0.7423                || Val - Loss:0.5183, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:15
Train - Loss:1.1403, Accuracy:0.8469, F1:0.8333, Precision:0.9036, Recall:0.7732                || Val - Loss:0.6936, Accuracy:0.9250, F1:0.9268, Precision:0.8636, Recall:1.0000 Epoch:16
Train - Loss:1.2300, Accuracy:0.8163, F1:0.8125, Precision:0.8211, Recall:0.8041                || Val - Loss:0.4808, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:17
Train - Loss:1.0489, Accuracy:0.8622, F1:0.8615, Precision:0.8571, Recall:0.8660                || Val - Loss:0.5098, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:18
Train - Loss:1.2072, Accuracy:0.8316, F1:0.8325, Precision:0.8200, Recall:0.8454                || Val - Loss:0.5148, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:19
