cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.6941, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6945, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6944561302661896
Train - Loss:0.6936, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6943788021802902
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6941, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.694102643430233
Train - Loss:0.6930, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6936, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6935589849948883
Train - Loss:0.6928, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.693177305161953
Train - Loss:0.6924, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6927, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6926769435405731
Train - Loss:0.6921, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6920, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6920257642865181
Train - Loss:0.6913, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6912, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6911998257040978
Train - Loss:0.6900, Accuracy:0.5000, F1:0.6644, Precision:0.4974, Recall:1.0000                || Val - Loss:0.6896, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:9
Best model updated:  0.6896052047610283
Train - Loss:0.6887, Accuracy:0.5306, F1:0.6738, Precision:0.5135, Recall:0.9794                || Val - Loss:0.6876, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:10
Best model updated:  0.68757384121418
Train - Loss:0.6858, Accuracy:0.5969, F1:0.7041, Precision:0.5529, Recall:0.9691                || Val - Loss:0.6845, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:11
Best model updated:  0.6844622060656548
Train - Loss:0.6820, Accuracy:0.6990, F1:0.7468, Precision:0.6397, Recall:0.8969                || Val - Loss:0.6795, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6795198410749436
Train - Loss:0.6771, Accuracy:0.7041, F1:0.7071, Precision:0.6931, Recall:0.7216                || Val - Loss:0.6724, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:13
Best model updated:  0.6724175736308098
Train - Loss:0.6712, Accuracy:0.6939, F1:0.6471, Precision:0.7534, Recall:0.5670                || Val - Loss:0.6637, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:14
Best model updated:  0.663711602985859
Train - Loss:0.6550, Accuracy:0.7296, F1:0.7006, Precision:0.7750, Recall:0.6392                || Val - Loss:0.6525, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:15
Best model updated:  0.652450068295002
Train - Loss:0.6364, Accuracy:0.7449, F1:0.7283, Precision:0.7701, Recall:0.6907                || Val - Loss:0.6400, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:16
Best model updated:  0.6399826936423778
Train - Loss:0.6143, Accuracy:0.7245, F1:0.7033, Precision:0.7529, Recall:0.6598                || Val - Loss:0.6367, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:17
Best model updated:  0.636651236563921
Train - Loss:0.6086, Accuracy:0.6837, F1:0.6395, Precision:0.7333, Recall:0.5670                || Val - Loss:0.6414, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:18
Train - Loss:0.5772, Accuracy:0.7143, F1:0.6627, Precision:0.7971, Recall:0.5670                || Val - Loss:0.6526, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:19
Train - Loss:0.5749, Accuracy:0.7449, F1:0.7159, Precision:0.7975, Recall:0.6495                || Val - Loss:0.6661, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:20
Train - Loss:0.5564, Accuracy:0.7602, F1:0.7487, Precision:0.7778, Recall:0.7216                || Val - Loss:0.6818, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5490, Accuracy:0.7347, F1:0.7143, Precision:0.7647, Recall:0.6701                || Val - Loss:0.6929, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:22
Train - Loss:0.5802, Accuracy:0.7092, F1:0.6627, Precision:0.7778, Recall:0.5773                || Val - Loss:0.7084, Accuracy:0.6000, F1:0.6364, Precision:0.5600, Recall:0.7368 Epoch:23
Train - Loss:0.5743, Accuracy:0.7245, F1:0.6786, Precision:0.8028, Recall:0.5876                || Val - Loss:0.7130, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:24
Train - Loss:0.5477, Accuracy:0.7398, F1:0.7119, Precision:0.7875, Recall:0.6495                || Val - Loss:0.7140, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5288, Accuracy:0.7653, F1:0.7500, Precision:0.7931, Recall:0.7113                || Val - Loss:0.7202, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
Train - Loss:0.5651, Accuracy:0.7143, F1:0.6989, Precision:0.7303, Recall:0.6701                || Val - Loss:0.7267, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:27
