cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.6929, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6920, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:0.6926, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6916, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:2
Train - Loss:0.6925, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6913, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:3
Train - Loss:0.6920, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6909, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:4
Train - Loss:0.6917, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6906, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:5
Train - Loss:0.6913, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6901, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:6
Train - Loss:0.6910, Accuracy:0.5153, F1:0.0594, Precision:0.7500, Recall:0.0309                || Val - Loss:0.6895, Accuracy:0.4750, F1:0.1600, Precision:0.3333, Recall:0.1053 Epoch:7
Train - Loss:0.6903, Accuracy:0.5765, F1:0.3025, Precision:0.8182, Recall:0.1856                || Val - Loss:0.6885, Accuracy:0.5500, F1:0.5000, Precision:0.5294, Recall:0.4737 Epoch:8
Best model updated:  0.6885321050882339
Train - Loss:0.6896, Accuracy:0.6327, F1:0.4706, Precision:0.8205, Recall:0.3299                || Val - Loss:0.6872, Accuracy:0.6000, F1:0.6190, Precision:0.5652, Recall:0.6842 Epoch:9
Best model updated:  0.6872304439544678
Train - Loss:0.6883, Accuracy:0.6837, F1:0.5753, Precision:0.8571, Recall:0.4330                || Val - Loss:0.6854, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:10
Best model updated:  0.6853888601064682
Train - Loss:0.6862, Accuracy:0.7092, F1:0.6503, Precision:0.8030, Recall:0.5464                || Val - Loss:0.6832, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:11
Best model updated:  0.6831906422972679
Train - Loss:0.6835, Accuracy:0.6327, F1:0.7000, Precision:0.5874, Recall:0.8660                || Val - Loss:0.6799, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6798734277486801
Train - Loss:0.6786, Accuracy:0.6276, F1:0.7068, Precision:0.5789, Recall:0.9072                || Val - Loss:0.6751, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:13
Best model updated:  0.6750770792365074
Train - Loss:0.6693, Accuracy:0.6582, F1:0.7243, Precision:0.6027, Recall:0.9072                || Val - Loss:0.6684, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:14
Best model updated:  0.6683793812990189
Train - Loss:0.6616, Accuracy:0.6276, F1:0.7045, Precision:0.5800, Recall:0.8969                || Val - Loss:0.6607, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:15
Best model updated:  0.6607150435447693
Train - Loss:0.6517, Accuracy:0.6020, F1:0.6880, Precision:0.5621, Recall:0.8866                || Val - Loss:0.6547, Accuracy:0.7250, F1:0.7660, Precision:0.6429, Recall:0.9474 Epoch:16
Best model updated:  0.6547043465077877
Train - Loss:0.6295, Accuracy:0.6480, F1:0.7089, Precision:0.6000, Recall:0.8660                || Val - Loss:0.6538, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:17
Best model updated:  0.6537514545023442
Train - Loss:0.6116, Accuracy:0.7551, F1:0.7209, Precision:0.8267, Recall:0.6392                || Val - Loss:0.6608, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:18
Train - Loss:0.5841, Accuracy:0.7551, F1:0.7176, Precision:0.8356, Recall:0.6289                || Val - Loss:0.6786, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:19
Train - Loss:0.5567, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.7009, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:20
Train - Loss:0.5515, Accuracy:0.7704, F1:0.7458, Precision:0.8250, Recall:0.6804                || Val - Loss:0.7124, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5542, Accuracy:0.7449, F1:0.7159, Precision:0.7975, Recall:0.6495                || Val - Loss:0.7160, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5370, Accuracy:0.7551, F1:0.7108, Precision:0.8551, Recall:0.6082                || Val - Loss:0.7272, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5387, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7434, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5277, Accuracy:0.7551, F1:0.7303, Precision:0.8025, Recall:0.6701                || Val - Loss:0.7522, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5173, Accuracy:0.7704, F1:0.7368, Precision:0.8514, Recall:0.6495                || Val - Loss:0.7606, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
Train - Loss:0.5281, Accuracy:0.7602, F1:0.7283, Precision:0.8289, Recall:0.6495                || Val - Loss:0.7675, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:27
Train - Loss:0.5270, Accuracy:0.7602, F1:0.7283, Precision:0.8289, Recall:0.6495                || Val - Loss:0.7687, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:28
