cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.6941, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6945, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6944554507732391
Train - Loss:0.6936, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6943788394331932
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6941, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6941034033894539
Train - Loss:0.6930, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6936, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6935667276382447
Train - Loss:0.6928, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6932143658399582
Train - Loss:0.6924, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6927, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6927302449941635
Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6921, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6921140670776367
Train - Loss:0.6912, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6913, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6913079530000686
Train - Loss:0.6903, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6898, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:9
Best model updated:  0.6897628039121628
Train - Loss:0.6887, Accuracy:0.5306, F1:0.6761, Precision:0.5134, Recall:0.9897                || Val - Loss:0.6878, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:10
Best model updated:  0.6877566233277321
Train - Loss:0.6860, Accuracy:0.5816, F1:0.6963, Precision:0.5434, Recall:0.9691                || Val - Loss:0.6847, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:11
Best model updated:  0.6847108379006386
Train - Loss:0.6834, Accuracy:0.6480, F1:0.7206, Precision:0.5933, Recall:0.9175                || Val - Loss:0.6800, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6799940571188927
Train - Loss:0.6770, Accuracy:0.7194, F1:0.7236, Precision:0.7059, Recall:0.7423                || Val - Loss:0.6732, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:13
Best model updated:  0.6731540352106095
Train - Loss:0.6704, Accuracy:0.7245, F1:0.6667, Precision:0.8308, Recall:0.5567                || Val - Loss:0.6642, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:14
Best model updated:  0.6641531690955162
Train - Loss:0.6561, Accuracy:0.7296, F1:0.6667, Precision:0.8548, Recall:0.5464                || Val - Loss:0.6527, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:15
Best model updated:  0.652714180201292
Train - Loss:0.6373, Accuracy:0.7704, F1:0.7305, Precision:0.8714, Recall:0.6289                || Val - Loss:0.6399, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:16
Best model updated:  0.6399347200989723
Train - Loss:0.6122, Accuracy:0.7449, F1:0.6951, Precision:0.8507, Recall:0.5876                || Val - Loss:0.6358, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:17
Best model updated:  0.6357556141912937
Train - Loss:0.5942, Accuracy:0.7194, F1:0.6707, Precision:0.8000, Recall:0.5773                || Val - Loss:0.6415, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:18
Train - Loss:0.5574, Accuracy:0.7551, F1:0.7108, Precision:0.8551, Recall:0.6082                || Val - Loss:0.6549, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:19
Train - Loss:0.5541, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.6718, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:20
Train - Loss:0.5260, Accuracy:0.7704, F1:0.7514, Precision:0.8095, Recall:0.7010                || Val - Loss:0.6948, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5038, Accuracy:0.7755, F1:0.7442, Precision:0.8533, Recall:0.6598                || Val - Loss:0.7163, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5393, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.7383, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5477, Accuracy:0.7500, F1:0.7066, Precision:0.8429, Recall:0.6082                || Val - Loss:0.7476, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5273, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7555, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5128, Accuracy:0.7755, F1:0.7556, Precision:0.8193, Recall:0.7010                || Val - Loss:0.7614, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
