cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.6941, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6944479078054429
Train - Loss:0.6935, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6943685188889503
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6941, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6940891906619072
Train - Loss:0.6929, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6935, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6935417056083679
Train - Loss:0.6927, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6931773513555527
Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6927, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6926724642515183
Train - Loss:0.6920, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6920, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.69201939702034
Train - Loss:0.6910, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6912, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6911685600876808
Train - Loss:0.6901, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6895, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:9
Best model updated:  0.6895465984940529
Train - Loss:0.6884, Accuracy:0.5510, F1:0.6835, Precision:0.5249, Recall:0.9794                || Val - Loss:0.6874, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:10
Best model updated:  0.6874303460121155
Train - Loss:0.6853, Accuracy:0.5867, F1:0.6989, Precision:0.5465, Recall:0.9691                || Val - Loss:0.6842, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:11
Best model updated:  0.6842017263174057
Train - Loss:0.6822, Accuracy:0.6735, F1:0.7355, Precision:0.6138, Recall:0.9175                || Val - Loss:0.6791, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6791395589709281
Train - Loss:0.6750, Accuracy:0.7449, F1:0.7423, Precision:0.7423, Recall:0.7423                || Val - Loss:0.6717, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:13
Best model updated:  0.6717074468731881
Train - Loss:0.6676, Accuracy:0.7245, F1:0.6667, Precision:0.8308, Recall:0.5567                || Val - Loss:0.6620, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:14
Best model updated:  0.6620008394122123
Train - Loss:0.6519, Accuracy:0.7500, F1:0.6994, Precision:0.8636, Recall:0.5876                || Val - Loss:0.6497, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:15
Best model updated:  0.6496893651783466
Train - Loss:0.6291, Accuracy:0.7857, F1:0.7558, Precision:0.8667, Recall:0.6701                || Val - Loss:0.6364, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:16
Best model updated:  0.6363916456699371
Train - Loss:0.6065, Accuracy:0.7551, F1:0.7108, Precision:0.8551, Recall:0.6082                || Val - Loss:0.6324, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:17
Best model updated:  0.6324481844902039
Train - Loss:0.5837, Accuracy:0.7398, F1:0.6982, Precision:0.8194, Recall:0.6082                || Val - Loss:0.6390, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:18
Train - Loss:0.5424, Accuracy:0.7755, F1:0.7381, Precision:0.8732, Recall:0.6392                || Val - Loss:0.6556, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:19
Train - Loss:0.5345, Accuracy:0.7806, F1:0.7543, Precision:0.8462, Recall:0.6804                || Val - Loss:0.6753, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:20
Train - Loss:0.5357, Accuracy:0.7347, F1:0.7547, Precision:0.6957, Recall:0.8247                || Val - Loss:0.6962, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.4815, Accuracy:0.8214, F1:0.8045, Precision:0.8780, Recall:0.7423                || Val - Loss:0.7094, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5354, Accuracy:0.7602, F1:0.7251, Precision:0.8378, Recall:0.6392                || Val - Loss:0.7281, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5439, Accuracy:0.7500, F1:0.7030, Precision:0.8529, Recall:0.5979                || Val - Loss:0.7399, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5283, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.7471, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.4986, Accuracy:0.7857, F1:0.7614, Precision:0.8481, Recall:0.6907                || Val - Loss:0.7585, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
