cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.6941, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6945, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6944535046815872
Train - Loss:0.6936, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6943771272897721
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6941, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6941020548343658
Train - Loss:0.6930, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6936, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6935652270913124
Train - Loss:0.6928, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6932145670056343
Train - Loss:0.6924, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6927, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6927289292216301
Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6921, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6921098187565804
Train - Loss:0.6912, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6913, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6913009330630302
Train - Loss:0.6903, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6898, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:9
Best model updated:  0.6897549137473107
Train - Loss:0.6887, Accuracy:0.5255, F1:0.6714, Precision:0.5108, Recall:0.9794                || Val - Loss:0.6877, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:10
Best model updated:  0.6877454370260239
Train - Loss:0.6859, Accuracy:0.5867, F1:0.6989, Precision:0.5465, Recall:0.9691                || Val - Loss:0.6847, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:11
Best model updated:  0.6846873670816421
Train - Loss:0.6833, Accuracy:0.6531, F1:0.7236, Precision:0.5973, Recall:0.9175                || Val - Loss:0.6800, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6799520298838615
Train - Loss:0.6770, Accuracy:0.7347, F1:0.7347, Precision:0.7273, Recall:0.7423                || Val - Loss:0.6731, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:13
Best model updated:  0.6730940043926239
Train - Loss:0.6703, Accuracy:0.7245, F1:0.6667, Precision:0.8308, Recall:0.5567                || Val - Loss:0.6641, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:14
Best model updated:  0.6640748888254165
Train - Loss:0.6566, Accuracy:0.7347, F1:0.6750, Precision:0.8571, Recall:0.5567                || Val - Loss:0.6527, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:15
Best model updated:  0.6526748694479465
Train - Loss:0.6367, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.6399, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:16
Best model updated:  0.6398606911301613
Train - Loss:0.6127, Accuracy:0.7449, F1:0.6951, Precision:0.8507, Recall:0.5876                || Val - Loss:0.6357, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:17
Best model updated:  0.635697590559721
Train - Loss:0.5951, Accuracy:0.7194, F1:0.6707, Precision:0.8000, Recall:0.5773                || Val - Loss:0.6415, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:18
Train - Loss:0.5592, Accuracy:0.7551, F1:0.7108, Precision:0.8551, Recall:0.6082                || Val - Loss:0.6549, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:19
Train - Loss:0.5540, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.6717, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:20
Train - Loss:0.5257, Accuracy:0.7755, F1:0.7556, Precision:0.8193, Recall:0.7010                || Val - Loss:0.6948, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.4998, Accuracy:0.7908, F1:0.7630, Precision:0.8684, Recall:0.6804                || Val - Loss:0.7165, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5367, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.7376, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5430, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.7474, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5260, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7552, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5156, Accuracy:0.7704, F1:0.7486, Precision:0.8171, Recall:0.6907                || Val - Loss:0.7598, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
