cuda:0
>>> Training on scheme:  random_split
Training on fold 1
cldnn

>>> Training

Train - Loss:0.6931, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6929, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:0.6930, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6929, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:2
Train - Loss:0.6929, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6928, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:3
Train - Loss:0.6928, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6927, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:4
Train - Loss:0.6926, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6925, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:5
Train - Loss:0.6924, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6923, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:6
Train - Loss:0.6920, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6918, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:7
Train - Loss:0.6912, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6911, Accuracy:0.5000, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:8
Train - Loss:0.6899, Accuracy:0.5714, F1:0.2881, Precision:0.8095, Recall:0.1753                || Val - Loss:0.6899, Accuracy:0.6250, F1:0.5714, Precision:0.6250, Recall:0.5263 Epoch:9
Best model updated:  0.6899354040622712
Train - Loss:0.6880, Accuracy:0.7092, F1:0.6369, Precision:0.8333, Recall:0.5155                || Val - Loss:0.6880, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:10
Best model updated:  0.6880412697792053
Train - Loss:0.6848, Accuracy:0.7500, F1:0.7135, Precision:0.8243, Recall:0.6289                || Val - Loss:0.6849, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:11
Best model updated:  0.6849099949002266
Train - Loss:0.6803, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.6796, Accuracy:0.7250, F1:0.7317, Precision:0.6818, Recall:0.7895 Epoch:12
Best model updated:  0.6796252325177192
