cuda
>>> Training on scheme:  random_split
Training on fold 1
cldnn

>>> Training

Train - Loss:0.6926, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6825, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6824938714504242
Train - Loss:0.6602, Accuracy:0.7092, F1:0.7692, Precision:0.6333, Recall:0.9794                || Val - Loss:0.6115, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:2
Best model updated:  0.6115151524543763
Train - Loss:0.5698, Accuracy:0.8827, F1:0.8729, Precision:0.9405, Recall:0.8144                || Val - Loss:0.4794, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:3
Best model updated:  0.4794124364852905
Train - Loss:0.4052, Accuracy:0.9235, F1:0.9223, Precision:0.9271, Recall:0.9175                || Val - Loss:0.3373, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:4
Best model updated:  0.33729815967381
Train - Loss:0.3022, Accuracy:0.9133, F1:0.9128, Precision:0.9082, Recall:0.9175                || Val - Loss:0.2562, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:5
Best model updated:  0.25616191439330577
Train - Loss:0.2139, Accuracy:0.9337, F1:0.9333, Precision:0.9286, Recall:0.9381                || Val - Loss:0.1954, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:6
Best model updated:  0.19543403927236797
Train - Loss:0.1683, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.1710, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:7
Best model updated:  0.17097997008822857
Train - Loss:0.1781, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.1605, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:8
Best model updated:  0.1605413423385471
Train - Loss:0.1829, Accuracy:0.9337, F1:0.9360, Precision:0.8962, Recall:0.9794                || Val - Loss:0.1647, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:9
Train - Loss:0.1982, Accuracy:0.9184, F1:0.9140, Precision:0.9551, Recall:0.8763                || Val - Loss:0.1814, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:10
Train - Loss:0.1830, Accuracy:0.9286, F1:0.9271, Precision:0.9368, Recall:0.9175                || Val - Loss:0.1598, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:11
Best model updated:  0.15979792459402234
