cuda
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.6896, Accuracy:0.5000, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6845, Accuracy:0.5000, F1:0.2308, Precision:0.4286, Recall:0.1579 Epoch:1
Train - Loss:0.6852, Accuracy:0.5969, F1:0.3361, Precision:0.9091, Recall:0.2062                || Val - Loss:0.6809, Accuracy:0.5750, F1:0.5143, Precision:0.5625, Recall:0.4737 Epoch:2
Best model updated:  0.6808775693178177
Train - Loss:0.6851, Accuracy:0.6531, F1:0.5211, Precision:0.8222, Recall:0.3814                || Val - Loss:0.6779, Accuracy:0.6000, F1:0.6190, Precision:0.5652, Recall:0.6842 Epoch:3
Best model updated:  0.677884329855442
Train - Loss:0.6804, Accuracy:0.6990, F1:0.6040, Precision:0.8654, Recall:0.4639                || Val - Loss:0.6751, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:4
Best model updated:  0.6750511005520821
Train - Loss:0.6802, Accuracy:0.7143, F1:0.6316, Precision:0.8727, Recall:0.4948                || Val - Loss:0.6720, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:5
Best model updated:  0.6719988331198692
Train - Loss:0.6767, Accuracy:0.7398, F1:0.6792, Precision:0.8710, Recall:0.5567                || Val - Loss:0.6690, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:6
Best model updated:  0.6689578399062157
Train - Loss:0.6724, Accuracy:0.7653, F1:0.7262, Precision:0.8592, Recall:0.6289                || Val - Loss:0.6658, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:7
Best model updated:  0.6658068597316742
Train - Loss:0.6692, Accuracy:0.7194, F1:0.7179, Precision:0.7143, Recall:0.7216                || Val - Loss:0.6621, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:8
Best model updated:  0.6620561271905899
Train - Loss:0.6683, Accuracy:0.6327, F1:0.7073, Precision:0.5839, Recall:0.8969                || Val - Loss:0.6583, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:9
Best model updated:  0.6583203196525573
Train - Loss:0.6610, Accuracy:0.6531, F1:0.7190, Precision:0.6000, Recall:0.8969                || Val - Loss:0.6544, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:10
Best model updated:  0.6543846927583218
Train - Loss:0.6564, Accuracy:0.6531, F1:0.7236, Precision:0.5973, Recall:0.9175                || Val - Loss:0.6504, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:11
Best model updated:  0.6504252940416336
Train - Loss:0.6551, Accuracy:0.6378, F1:0.7029, Precision:0.5915, Recall:0.8660                || Val - Loss:0.6467, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6467110149562358
Train - Loss:0.6466, Accuracy:0.6633, F1:0.7250, Precision:0.6084, Recall:0.8969                || Val - Loss:0.6428, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:13
Best model updated:  0.6428267769515514
Train - Loss:0.6421, Accuracy:0.6480, F1:0.7113, Precision:0.5986, Recall:0.8763                || Val - Loss:0.6386, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:14
Best model updated:  0.6386256031692028
Train - Loss:0.6388, Accuracy:0.6276, F1:0.7020, Precision:0.5811, Recall:0.8866                || Val - Loss:0.6353, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:15
Best model updated:  0.6352530047297478
Train - Loss:0.6403, Accuracy:0.6276, F1:0.6971, Precision:0.5833, Recall:0.8660                || Val - Loss:0.6330, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:16
Best model updated:  0.6329883947968483
Train - Loss:0.6251, Accuracy:0.6531, F1:0.7167, Precision:0.6014, Recall:0.8866                || Val - Loss:0.6296, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:17
Best model updated:  0.6295782551169395
Train - Loss:0.6283, Accuracy:0.6327, F1:0.7000, Precision:0.5874, Recall:0.8660                || Val - Loss:0.6283, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:18
Best model updated:  0.6282656148076058
Train - Loss:0.6158, Accuracy:0.6378, F1:0.7054, Precision:0.5903, Recall:0.8763                || Val - Loss:0.6280, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:19
Best model updated:  0.6280141994357109
Train - Loss:0.6099, Accuracy:0.6480, F1:0.7113, Precision:0.5986, Recall:0.8763                || Val - Loss:0.6291, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:20
Train - Loss:0.6120, Accuracy:0.6224, F1:0.6967, Precision:0.5782, Recall:0.8763                || Val - Loss:0.6320, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:21
Train - Loss:0.5958, Accuracy:0.6531, F1:0.7143, Precision:0.6028, Recall:0.8763                || Val - Loss:0.6355, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:22
Train - Loss:0.6048, Accuracy:0.6276, F1:0.6946, Precision:0.5845, Recall:0.8557                || Val - Loss:0.6416, Accuracy:0.7500, F1:0.7917, Precision:0.6552, Recall:1.0000 Epoch:23
Train - Loss:0.5795, Accuracy:0.6633, F1:0.7203, Precision:0.6115, Recall:0.8763                || Val - Loss:0.6508, Accuracy:0.7500, F1:0.7917, Precision:0.6552, Recall:1.0000 Epoch:24
Train - Loss:0.5701, Accuracy:0.6837, F1:0.7075, Precision:0.6522, Recall:0.7732                || Val - Loss:0.6616, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:25
Train - Loss:0.5542, Accuracy:0.7755, F1:0.7412, Precision:0.8630, Recall:0.6495                || Val - Loss:0.6816, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:26
Train - Loss:0.5981, Accuracy:0.6684, F1:0.6667, Precision:0.6633, Recall:0.6701                || Val - Loss:0.7034, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:27
Train - Loss:0.5618, Accuracy:0.7551, F1:0.7474, Precision:0.7634, Recall:0.7320                || Val - Loss:0.7186, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:28
Train - Loss:0.5895, Accuracy:0.7653, F1:0.7356, Precision:0.8312, Recall:0.6598                || Val - Loss:0.7225, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:29
Train - Loss:0.5662, Accuracy:0.7653, F1:0.7262, Precision:0.8592, Recall:0.6289                || Val - Loss:0.7243, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:30
Train - Loss:0.5653, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.7256, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:31
Train - Loss:0.5591, Accuracy:0.7602, F1:0.7283, Precision:0.8289, Recall:0.6495                || Val - Loss:0.7274, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:32
Train - Loss:0.5726, Accuracy:0.7500, F1:0.7030, Precision:0.8529, Recall:0.5979                || Val - Loss:0.7284, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:33
