cuda:0
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.6942, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6930, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6929996773600579
Train - Loss:0.6919, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6909, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6908758893609047
Train - Loss:0.6901, Accuracy:0.5051, F1:0.6620, Precision:0.5000, Recall:0.9794                || Val - Loss:0.6885, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:3
Best model updated:  0.6884999424219131
Train - Loss:0.6880, Accuracy:0.5561, F1:0.6813, Precision:0.5284, Recall:0.9588                || Val - Loss:0.6860, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:4
Best model updated:  0.6859708905220032
Train - Loss:0.6865, Accuracy:0.5816, F1:0.6917, Precision:0.5444, Recall:0.9485                || Val - Loss:0.6835, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:5
Best model updated:  0.6834596067667007
Train - Loss:0.6827, Accuracy:0.6020, F1:0.7023, Precision:0.5576, Recall:0.9485                || Val - Loss:0.6805, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:6
Best model updated:  0.6805195599794388
Train - Loss:0.6790, Accuracy:0.5969, F1:0.6996, Precision:0.5542, Recall:0.9485                || Val - Loss:0.6766, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:7
Best model updated:  0.6765778318047524
Train - Loss:0.6763, Accuracy:0.6122, F1:0.6935, Precision:0.5695, Recall:0.8866                || Val - Loss:0.6714, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:8
Best model updated:  0.6713854372501373
Train - Loss:0.6692, Accuracy:0.6173, F1:0.6939, Precision:0.5743, Recall:0.8763                || Val - Loss:0.6664, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:9
Best model updated:  0.6664191305637359
Train - Loss:0.6632, Accuracy:0.6582, F1:0.7265, Precision:0.6014, Recall:0.9175                || Val - Loss:0.6599, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:10
Best model updated:  0.6598704755306244
Train - Loss:0.6583, Accuracy:0.6224, F1:0.6967, Precision:0.5782, Recall:0.8763                || Val - Loss:0.6534, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:11
Best model updated:  0.653404501080513
Train - Loss:0.6427, Accuracy:0.6378, F1:0.7004, Precision:0.5929, Recall:0.8557                || Val - Loss:0.6459, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:12
Best model updated:  0.6459009803831577
Train - Loss:0.6333, Accuracy:0.6684, F1:0.7234, Precision:0.6159, Recall:0.8763                || Val - Loss:0.6408, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:13
Best model updated:  0.6407710559666157
Train - Loss:0.6119, Accuracy:0.6735, F1:0.7288, Precision:0.6187, Recall:0.8866                || Val - Loss:0.6374, Accuracy:0.7250, F1:0.7660, Precision:0.6429, Recall:0.9474 Epoch:14
Best model updated:  0.637424023449421
Train - Loss:0.6015, Accuracy:0.6990, F1:0.6878, Precision:0.7065, Recall:0.6701                || Val - Loss:0.6386, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:15
Train - Loss:0.5827, Accuracy:0.7194, F1:0.6961, Precision:0.7500, Recall:0.6495                || Val - Loss:0.6506, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:16
Train - Loss:0.5903, Accuracy:0.7143, F1:0.6957, Precision:0.7356, Recall:0.6598                || Val - Loss:0.6658, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:17
Train - Loss:0.5891, Accuracy:0.7194, F1:0.6961, Precision:0.7500, Recall:0.6495                || Val - Loss:0.6801, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:18
Train - Loss:0.5842, Accuracy:0.7347, F1:0.7143, Precision:0.7647, Recall:0.6701                || Val - Loss:0.6921, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:19
Train - Loss:0.5625, Accuracy:0.7551, F1:0.7447, Precision:0.7692, Recall:0.7216                || Val - Loss:0.6978, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:20
Train - Loss:0.5940, Accuracy:0.7143, F1:0.6923, Precision:0.7412, Recall:0.6495                || Val - Loss:0.7081, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5475, Accuracy:0.7194, F1:0.6961, Precision:0.7500, Recall:0.6495                || Val - Loss:0.7180, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5659, Accuracy:0.7347, F1:0.6941, Precision:0.8082, Recall:0.6082                || Val - Loss:0.7148, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.6058, Accuracy:0.7092, F1:0.6816, Precision:0.7439, Recall:0.6289                || Val - Loss:0.7078, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5717, Accuracy:0.7143, F1:0.6923, Precision:0.7412, Recall:0.6495                || Val - Loss:0.6894, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5945, Accuracy:0.6939, F1:0.6667, Precision:0.7229, Recall:0.6186                || Val - Loss:0.6787, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
Train - Loss:0.5696, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.6824, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:27
Train - Loss:0.5798, Accuracy:0.6990, F1:0.6811, Precision:0.7159, Recall:0.6495                || Val - Loss:0.6865, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:28
Train - Loss:0.5658, Accuracy:0.7296, F1:0.7104, Precision:0.7558, Recall:0.6701                || Val - Loss:0.6905, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5937, Accuracy:0.6990, F1:0.6811, Precision:0.7159, Recall:0.6495                || Val - Loss:0.6947, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5797, Accuracy:0.7347, F1:0.6941, Precision:0.8082, Recall:0.6082                || Val - Loss:0.7002, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5576, Accuracy:0.7347, F1:0.7234, Precision:0.7473, Recall:0.7010                || Val - Loss:0.7079, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5720, Accuracy:0.7500, F1:0.7263, Precision:0.7927, Recall:0.6701                || Val - Loss:0.7104, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:33
Train - Loss:0.5665, Accuracy:0.7194, F1:0.6821, Precision:0.7763, Recall:0.6082                || Val - Loss:0.7162, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:34
