cuda:0
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6916, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6915900707244873
Train - Loss:0.6897, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6897, Accuracy:0.5000, F1:0.6552, Precision:0.4872, Recall:1.0000 Epoch:2
Best model updated:  0.6897139057517052
Train - Loss:0.6875, Accuracy:0.5000, F1:0.6621, Precision:0.4974, Recall:0.9897                || Val - Loss:0.6875, Accuracy:0.5750, F1:0.6909, Precision:0.5278, Recall:1.0000 Epoch:3
Best model updated:  0.687538419663906
Train - Loss:0.6857, Accuracy:0.5357, F1:0.6784, Precision:0.5161, Recall:0.9897                || Val - Loss:0.6847, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:4
Best model updated:  0.6847292423248291
Train - Loss:0.6828, Accuracy:0.5765, F1:0.6937, Precision:0.5402, Recall:0.9691                || Val - Loss:0.6811, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:5
Best model updated:  0.6810979381203651
Train - Loss:0.6809, Accuracy:0.5867, F1:0.6798, Precision:0.5513, Recall:0.8866                || Val - Loss:0.6768, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:6
Best model updated:  0.6767644107341766
Train - Loss:0.6759, Accuracy:0.6173, F1:0.7012, Precision:0.5714, Recall:0.9072                || Val - Loss:0.6714, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:7
Best model updated:  0.6713848143815995
Train - Loss:0.6676, Accuracy:0.6480, F1:0.7113, Precision:0.5986, Recall:0.8763                || Val - Loss:0.6658, Accuracy:0.7250, F1:0.7660, Precision:0.6429, Recall:0.9474 Epoch:8
Best model updated:  0.6658388882875442
Train - Loss:0.6623, Accuracy:0.6378, F1:0.7102, Precision:0.5878, Recall:0.8969                || Val - Loss:0.6592, Accuracy:0.7250, F1:0.7660, Precision:0.6429, Recall:0.9474 Epoch:9
Best model updated:  0.6591764092445374
Train - Loss:0.6545, Accuracy:0.6378, F1:0.7029, Precision:0.5915, Recall:0.8660                || Val - Loss:0.6526, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:10
Best model updated:  0.6525945909321308
Train - Loss:0.6447, Accuracy:0.6480, F1:0.7113, Precision:0.5986, Recall:0.8763                || Val - Loss:0.6473, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:11
Best model updated:  0.6472802944481373
Train - Loss:0.6168, Accuracy:0.6735, F1:0.7333, Precision:0.6154, Recall:0.9072                || Val - Loss:0.6415, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:12
Best model updated:  0.6415301181375981
Train - Loss:0.6262, Accuracy:0.7245, F1:0.6966, Precision:0.7654, Recall:0.6392                || Val - Loss:0.6388, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:13
Best model updated:  0.638790949434042
Train - Loss:0.6076, Accuracy:0.7500, F1:0.7101, Precision:0.8333, Recall:0.6186                || Val - Loss:0.6438, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:14
Train - Loss:0.5945, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.6548, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:15
Train - Loss:0.5694, Accuracy:0.7653, F1:0.7356, Precision:0.8312, Recall:0.6598                || Val - Loss:0.6697, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:16
Train - Loss:0.5855, Accuracy:0.7449, F1:0.7093, Precision:0.8133, Recall:0.6289                || Val - Loss:0.6888, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:17
Train - Loss:0.5683, Accuracy:0.7398, F1:0.6946, Precision:0.8286, Recall:0.5979                || Val - Loss:0.7019, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:18
Train - Loss:0.5681, Accuracy:0.7347, F1:0.6790, Precision:0.8462, Recall:0.5670                || Val - Loss:0.7163, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:19
Train - Loss:0.5800, Accuracy:0.7398, F1:0.7018, Precision:0.8108, Recall:0.6186                || Val - Loss:0.7259, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:20
Train - Loss:0.5629, Accuracy:0.7653, F1:0.7386, Precision:0.8228, Recall:0.6701                || Val - Loss:0.7302, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5667, Accuracy:0.7704, F1:0.7514, Precision:0.8095, Recall:0.7010                || Val - Loss:0.7290, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5545, Accuracy:0.7755, F1:0.7500, Precision:0.8354, Recall:0.6804                || Val - Loss:0.7396, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5570, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.7522, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5907, Accuracy:0.7449, F1:0.7093, Precision:0.8133, Recall:0.6289                || Val - Loss:0.7595, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5356, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.7672, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
Train - Loss:0.5358, Accuracy:0.7806, F1:0.7514, Precision:0.8553, Recall:0.6701                || Val - Loss:0.7793, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:27
Train - Loss:0.5402, Accuracy:0.7704, F1:0.7337, Precision:0.8611, Recall:0.6392                || Val - Loss:0.7936, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:28
Train - Loss:0.5511, Accuracy:0.7653, F1:0.7229, Precision:0.8696, Recall:0.6186                || Val - Loss:0.7973, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5306, Accuracy:0.7755, F1:0.7381, Precision:0.8732, Recall:0.6392                || Val - Loss:0.7960, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5284, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.7961, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5267, Accuracy:0.7704, F1:0.7458, Precision:0.8250, Recall:0.6804                || Val - Loss:0.7971, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5782, Accuracy:0.7296, F1:0.6901, Precision:0.7973, Recall:0.6082                || Val - Loss:0.7894, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:33
Train - Loss:0.5157, Accuracy:0.7704, F1:0.7337, Precision:0.8611, Recall:0.6392                || Val - Loss:0.7805, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:34
