cuda:0
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.6941, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6929, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6929342478513718
Train - Loss:0.6917, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6907, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6907417744398117
Train - Loss:0.6896, Accuracy:0.5153, F1:0.6690, Precision:0.5053, Recall:0.9897                || Val - Loss:0.6883, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:3
Best model updated:  0.6883064493536949
Train - Loss:0.6875, Accuracy:0.5612, F1:0.6861, Precision:0.5311, Recall:0.9691                || Val - Loss:0.6857, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:4
Best model updated:  0.6857231393456459
Train - Loss:0.6856, Accuracy:0.5867, F1:0.6943, Precision:0.5476, Recall:0.9485                || Val - Loss:0.6832, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:5
Best model updated:  0.6831840053200722
Train - Loss:0.6818, Accuracy:0.6122, F1:0.7054, Precision:0.5652, Recall:0.9381                || Val - Loss:0.6802, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:6
Best model updated:  0.6801690489053727
Train - Loss:0.6785, Accuracy:0.6071, F1:0.7050, Precision:0.5610, Recall:0.9485                || Val - Loss:0.6763, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:7
Best model updated:  0.6763046994805336
Train - Loss:0.6742, Accuracy:0.6071, F1:0.6957, Precision:0.5641, Recall:0.9072                || Val - Loss:0.6710, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:8
Best model updated:  0.670975138247013
Train - Loss:0.6690, Accuracy:0.6224, F1:0.6942, Precision:0.5793, Recall:0.8660                || Val - Loss:0.6656, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:9
Best model updated:  0.6656161218881607
Train - Loss:0.6609, Accuracy:0.6582, F1:0.7265, Precision:0.6014, Recall:0.9175                || Val - Loss:0.6589, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:10
Best model updated:  0.6589467726647854
Train - Loss:0.6539, Accuracy:0.6378, F1:0.7029, Precision:0.5915, Recall:0.8660                || Val - Loss:0.6526, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:11
Best model updated:  0.6525667473673821
Train - Loss:0.6409, Accuracy:0.6480, F1:0.7113, Precision:0.5986, Recall:0.8763                || Val - Loss:0.6453, Accuracy:0.7000, F1:0.7600, Precision:0.6129, Recall:1.0000 Epoch:12
Best model updated:  0.6453222632408142
Train - Loss:0.6268, Accuracy:0.6633, F1:0.7227, Precision:0.6099, Recall:0.8866                || Val - Loss:0.6415, Accuracy:0.6750, F1:0.7347, Precision:0.6000, Recall:0.9474 Epoch:13
Best model updated:  0.6414523735642433
Train - Loss:0.6093, Accuracy:0.6684, F1:0.7137, Precision:0.6231, Recall:0.8351                || Val - Loss:0.6401, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:14
Best model updated:  0.6401038020849228
Train - Loss:0.5891, Accuracy:0.7347, F1:0.7204, Precision:0.7528, Recall:0.6907                || Val - Loss:0.6442, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:15
Train - Loss:0.5689, Accuracy:0.8061, F1:0.7841, Precision:0.8734, Recall:0.7113                || Val - Loss:0.6602, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:16
Train - Loss:0.5661, Accuracy:0.7908, F1:0.7684, Precision:0.8500, Recall:0.7010                || Val - Loss:0.6815, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:17
Train - Loss:0.5631, Accuracy:0.7449, F1:0.7449, Precision:0.7374, Recall:0.7526                || Val - Loss:0.7044, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:18
Train - Loss:0.5599, Accuracy:0.7653, F1:0.7604, Precision:0.7684, Recall:0.7526                || Val - Loss:0.7251, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:19
Train - Loss:0.5432, Accuracy:0.7959, F1:0.7701, Precision:0.8701, Recall:0.6907                || Val - Loss:0.7344, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:20
Train - Loss:0.5498, Accuracy:0.8163, F1:0.7978, Precision:0.8765, Recall:0.7320                || Val - Loss:0.7536, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:21
Train - Loss:0.5150, Accuracy:0.7908, F1:0.7630, Precision:0.8684, Recall:0.6804                || Val - Loss:0.7719, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:22
Train - Loss:0.5546, Accuracy:0.7857, F1:0.7558, Precision:0.8667, Recall:0.6701                || Val - Loss:0.7703, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:23
Train - Loss:0.5416, Accuracy:0.8010, F1:0.7771, Precision:0.8718, Recall:0.7010                || Val - Loss:0.7739, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:24
Train - Loss:0.5514, Accuracy:0.7959, F1:0.7727, Precision:0.8608, Recall:0.7010                || Val - Loss:0.7515, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:25
Train - Loss:0.5426, Accuracy:0.8010, F1:0.7797, Precision:0.8625, Recall:0.7113                || Val - Loss:0.7366, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:26
Train - Loss:0.5346, Accuracy:0.8163, F1:0.7978, Precision:0.8765, Recall:0.7320                || Val - Loss:0.7377, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:27
Train - Loss:0.5601, Accuracy:0.7449, F1:0.7525, Precision:0.7238, Recall:0.7835                || Val - Loss:0.7386, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:28
Train - Loss:0.5457, Accuracy:0.7296, F1:0.7363, Precision:0.7115, Recall:0.7629                || Val - Loss:0.7366, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5576, Accuracy:0.7755, F1:0.7528, Precision:0.8272, Recall:0.6907                || Val - Loss:0.7367, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5498, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7409, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5416, Accuracy:0.7959, F1:0.7727, Precision:0.8608, Recall:0.7010                || Val - Loss:0.7479, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5443, Accuracy:0.8112, F1:0.7886, Precision:0.8846, Recall:0.7113                || Val - Loss:0.7519, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:33
Train - Loss:0.5352, Accuracy:0.7755, F1:0.7442, Precision:0.8533, Recall:0.6598                || Val - Loss:0.7552, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:34
