cuda:0
>>> Training on scheme:  random_split
Training on fold 1
lstm

>>> Training

Train - Loss:0.6940, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6949, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6949443772435189
Train - Loss:0.6938, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6948, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6948450163006783
Train - Loss:0.6937, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6947, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6946710184216499
Train - Loss:0.6935, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6943915069103241
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6943, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6942827790975571
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6942, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6941994532942772
Train - Loss:0.6931, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6941, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6940676376223565
Train - Loss:0.6930, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6937, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6937149047851563
Train - Loss:0.6926, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:9
Best model updated:  0.6932050943374634
Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6928, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:10
Best model updated:  0.6928210541605949
Train - Loss:0.6918, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6922, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:11
Best model updated:  0.6922330439090729
Train - Loss:0.6911, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6914, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:12
Best model updated:  0.6913938641548156
Train - Loss:0.6905, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6903, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:13
Best model updated:  0.6903229892253876
Train - Loss:0.6886, Accuracy:0.5204, F1:0.6713, Precision:0.5079, Recall:0.9897                || Val - Loss:0.6890, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:14
Best model updated:  0.688973818719387
Train - Loss:0.6878, Accuracy:0.5306, F1:0.6642, Precision:0.5141, Recall:0.9381                || Val - Loss:0.6867, Accuracy:0.6500, F1:0.7308, Precision:0.5758, Recall:1.0000 Epoch:15
Best model updated:  0.6866854026913642
Train - Loss:0.6842, Accuracy:0.6276, F1:0.7092, Precision:0.5779, Recall:0.9175                || Val - Loss:0.6832, Accuracy:0.6750, F1:0.7347, Precision:0.6000, Recall:0.9474 Epoch:16
Best model updated:  0.6831700071692467
Train - Loss:0.6806, Accuracy:0.6480, F1:0.6906, Precision:0.6111, Recall:0.7938                || Val - Loss:0.6781, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:17
Best model updated:  0.6780883505940437
Train - Loss:0.6695, Accuracy:0.7194, F1:0.6995, Precision:0.7442, Recall:0.6598                || Val - Loss:0.6699, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:18
Best model updated:  0.6699369847774506
Train - Loss:0.6604, Accuracy:0.6837, F1:0.6310, Precision:0.7465, Recall:0.5464                || Val - Loss:0.6579, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:19
Best model updated:  0.6578655883669853
Train - Loss:0.6330, Accuracy:0.7347, F1:0.6905, Precision:0.8169, Recall:0.5979                || Val - Loss:0.6464, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:20
