cuda:0
>>> Training on scheme:  random_split
Training on fold 1
lstm

>>> Training

Train - Loss:0.6940, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6949, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6949473112821579
Train - Loss:0.6938, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6948, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.694846610724926
Train - Loss:0.6937, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6947, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6946720764040947
Train - Loss:0.6935, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6944, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6943916872143745
Train - Loss:0.6933, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6943, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6942804083228111
Train - Loss:0.6932, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6942, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6941888421773911
Train - Loss:0.6931, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6940, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6940494179725647
Train - Loss:0.6929, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6937, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6936880022287368
Train - Loss:0.6926, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6932, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:9
Best model updated:  0.6931686609983444
Train - Loss:0.6922, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6928, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:10
Best model updated:  0.6927871346473694
Train - Loss:0.6917, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6922, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:11
Best model updated:  0.6921710520982742
Train - Loss:0.6910, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6913, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:12
Best model updated:  0.6912935480475426
Train - Loss:0.6903, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6901, Accuracy:0.5500, F1:0.6786, Precision:0.5135, Recall:1.0000 Epoch:13
Best model updated:  0.6901418372988701
Train - Loss:0.6886, Accuracy:0.5306, F1:0.6761, Precision:0.5134, Recall:0.9897                || Val - Loss:0.6887, Accuracy:0.6250, F1:0.7170, Precision:0.5588, Recall:1.0000 Epoch:14
Best model updated:  0.6887137189507484
Train - Loss:0.6873, Accuracy:0.5459, F1:0.6764, Precision:0.5225, Recall:0.9588                || Val - Loss:0.6863, Accuracy:0.6750, F1:0.7451, Precision:0.5938, Recall:1.0000 Epoch:15
Best model updated:  0.6862919896841049
Train - Loss:0.6843, Accuracy:0.6173, F1:0.7036, Precision:0.5705, Recall:0.9175                || Val - Loss:0.6827, Accuracy:0.7000, F1:0.7500, Precision:0.6207, Recall:0.9474 Epoch:16
Best model updated:  0.6826744541525841
Train - Loss:0.6796, Accuracy:0.6429, F1:0.7083, Precision:0.5944, Recall:0.8763                || Val - Loss:0.6774, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:17
Best model updated:  0.6773712664842606
Train - Loss:0.6681, Accuracy:0.7755, F1:0.7349, Precision:0.8841, Recall:0.6289                || Val - Loss:0.6688, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:18
Best model updated:  0.6687946289777755
Train - Loss:0.6589, Accuracy:0.7041, F1:0.6420, Precision:0.8000, Recall:0.5361                || Val - Loss:0.6562, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:19
Best model updated:  0.6561599031090737
Train - Loss:0.6260, Accuracy:0.7602, F1:0.7186, Precision:0.8571, Recall:0.6186                || Val - Loss:0.6441, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:20
