cuda
>>> Training on scheme:  random_split
Training on fold 1
ms2

>>> Training

Train - Loss:0.7321, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6717, Accuracy:0.5000, F1:0.6552, Precision:0.4872, Recall:1.0000 Epoch:1
Best model updated:  0.6717473149299622
Train - Loss:0.6564, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6334, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6334005057811737
Train - Loss:0.6254, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6089, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6089484050869942
Train - Loss:0.6060, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5835, Accuracy:0.5250, F1:0.6122, Precision:0.5000, Recall:0.7895 Epoch:4
Best model updated:  0.5834515318274498
Train - Loss:0.5878, Accuracy:0.4490, F1:0.1562, Precision:0.3226, Recall:0.1031                || Val - Loss:0.5731, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:5
Train - Loss:0.5857, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5752, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:6
Train - Loss:0.5831, Accuracy:0.5306, F1:0.1321, Precision:0.7778, Recall:0.0722                || Val - Loss:0.5704, Accuracy:0.5250, F1:0.6122, Precision:0.5000, Recall:0.7895 Epoch:7
Best model updated:  0.5703595831990242
Train - Loss:0.5793, Accuracy:0.4949, F1:0.6598, Precision:0.4948, Recall:0.9897                || Val - Loss:0.5739, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Train - Loss:0.5778, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5727, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:9
Train - Loss:0.5770, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5668, Accuracy:0.5000, F1:0.6552, Precision:0.4872, Recall:1.0000 Epoch:10
Best model updated:  0.5668080091476441
Train - Loss:0.5772, Accuracy:0.4388, F1:0.2949, Precision:0.3898, Recall:0.2371                || Val - Loss:0.5648, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:11
Train - Loss:0.5789, Accuracy:0.4184, F1:0.4062, Precision:0.4105, Recall:0.4021                || Val - Loss:0.5671, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:12
Train - Loss:0.5751, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5661, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:13
Best model updated:  0.5661455199122429
Train - Loss:0.5727, Accuracy:0.5000, F1:0.6260, Precision:0.4970, Recall:0.8454                || Val - Loss:0.5664, Accuracy:0.5000, F1:0.5000, Precision:0.4762, Recall:0.5263 Epoch:14
Train - Loss:0.5722, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5637, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:15
Train - Loss:0.5721, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5621, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:16
Train - Loss:0.5746, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5671, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:17
Train - Loss:0.5736, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5642, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:18
