cuda
>>> Training on scheme:  random_split
Training on fold 1
mstcn

>>> Training

Train - Loss:0.7802, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.7497, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.7496971309185028
Train - Loss:0.7347, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.7112, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.7112306073307991
Train - Loss:0.7013, Accuracy:0.4745, F1:0.6411, Precision:0.4842, Recall:0.9485                || Val - Loss:0.6862, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:3
Best model updated:  0.686163692176342
Train - Loss:0.6813, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6681, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:4
Best model updated:  0.668108069896698
Train - Loss:0.6651, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6515, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:5
Best model updated:  0.65145503282547
Train - Loss:0.6492, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6357, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:6
Best model updated:  0.6357145294547081
Train - Loss:0.6369, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6223, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:7
Best model updated:  0.6223281428217888
Train - Loss:0.6223, Accuracy:0.5153, F1:0.0777, Precision:0.6667, Recall:0.0412                || Val - Loss:0.6132, Accuracy:0.4750, F1:0.6316, Precision:0.4737, Recall:0.9474 Epoch:8
Best model updated:  0.613246762752533
Train - Loss:0.6128, Accuracy:0.5000, F1:0.6644, Precision:0.4974, Recall:1.0000                || Val - Loss:0.6081, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:9
Best model updated:  0.608096469938755
Train - Loss:0.6060, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6058, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:10
Best model updated:  0.6058027260005474
Train - Loss:0.6077, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6019, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:11
Best model updated:  0.6019474945962429
Train - Loss:0.6017, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5922, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:12
Best model updated:  0.5922427646815777
Train - Loss:0.5934, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5842, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:13
Best model updated:  0.5841537438333034
Train - Loss:0.5885, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.5789, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:14
Best model updated:  0.5789346091449261
Train - Loss:0.5842, Accuracy:0.4898, F1:0.6552, Precision:0.4922, Recall:0.9794                || Val - Loss:0.5743, Accuracy:0.5750, F1:0.5854, Precision:0.5455, Recall:0.6316 Epoch:15
Best model updated:  0.5742944717407227
Train - Loss:0.5818, Accuracy:0.5204, F1:0.1897, Precision:0.5789, Recall:0.1134                || Val - Loss:0.5726, Accuracy:0.4500, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:16
Best model updated:  0.5725778006017208
Train - Loss:0.5824, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5745, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:17
Train - Loss:0.5835, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5743, Accuracy:0.4750, F1:0.2759, Precision:0.4000, Recall:0.2105 Epoch:18
Train - Loss:0.5814, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5714, Accuracy:0.4250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:19
Best model updated:  0.5714145794510841
Train - Loss:0.5767, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5680, Accuracy:0.5000, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:20
Best model updated:  0.5680143743753433
Train - Loss:0.5801, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5664, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:21
