cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.4899, Accuracy:0.8878, F1:0.8854, Precision:0.8947, Recall:0.8763                || Val - Loss:0.6592, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:1
Best model updated:  0.6591604501008987
Train - Loss:0.3620, Accuracy:0.9031, F1:0.9045, Precision:0.8824, Recall:0.9278                || Val - Loss:0.5717, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:2
Best model updated:  0.5716811835765838
Train - Loss:0.3354, Accuracy:0.8776, F1:0.8750, Precision:0.8842, Recall:0.8660                || Val - Loss:0.4590, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:3
Best model updated:  0.4589810334146023
Train - Loss:0.3283, Accuracy:0.9031, F1:0.9026, Precision:0.8980, Recall:0.9072                || Val - Loss:0.3736, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:4
Best model updated:  0.3736024107784033
Train - Loss:0.3109, Accuracy:0.9031, F1:0.9005, Precision:0.9149, Recall:0.8866                || Val - Loss:0.3380, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:5
Best model updated:  0.3379664979875088
Train - Loss:0.3158, Accuracy:0.8827, F1:0.8808, Precision:0.8854, Recall:0.8763                || Val - Loss:0.3171, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:6
Best model updated:  0.3170552793890238
Train - Loss:0.2980, Accuracy:0.9235, F1:0.9206, Precision:0.9457, Recall:0.8969                || Val - Loss:0.2851, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:7
Best model updated:  0.28507534842938187
Train - Loss:0.3048, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.2759, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:8
Best model updated:  0.2758718283846974
Train - Loss:0.2996, Accuracy:0.9031, F1:0.9005, Precision:0.9149, Recall:0.8866                || Val - Loss:0.2738, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:9
Best model updated:  0.27384776100516317
Train - Loss:0.2958, Accuracy:0.9133, F1:0.9110, Precision:0.9255, Recall:0.8969                || Val - Loss:0.2853, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:10
Train - Loss:0.2877, Accuracy:0.9082, F1:0.9053, Precision:0.9247, Recall:0.8866                || Val - Loss:0.2731, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:11
Best model updated:  0.2731356335803866
Train - Loss:0.2849, Accuracy:0.9184, F1:0.9175, Precision:0.9175, Recall:0.9175                || Val - Loss:0.2562, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:12
Best model updated:  0.256243041343987
Train - Loss:0.2800, Accuracy:0.9184, F1:0.9192, Precision:0.9010, Recall:0.9381                || Val - Loss:0.2558, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:13
Best model updated:  0.2558149958029389
Train - Loss:0.2660, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2656, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:14
Train - Loss:0.3100, Accuracy:0.8827, F1:0.8796, Precision:0.8936, Recall:0.8660                || Val - Loss:0.2676, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:15
Train - Loss:0.2745, Accuracy:0.9337, F1:0.9333, Precision:0.9286, Recall:0.9381                || Val - Loss:0.2581, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:16
Train - Loss:0.2703, Accuracy:0.9337, F1:0.9333, Precision:0.9286, Recall:0.9381                || Val - Loss:0.2495, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:17
Best model updated:  0.24947256045415997
Train - Loss:0.2580, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2480, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:18
Best model updated:  0.24801421016454697
Train - Loss:0.2512, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2600, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:19
Train - Loss:0.2570, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2418, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:20
Best model updated:  0.2417907388880849
Train - Loss:0.2611, Accuracy:0.9337, F1:0.9340, Precision:0.9200, Recall:0.9485                || Val - Loss:0.2453, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:21
Train - Loss:0.2560, Accuracy:0.9235, F1:0.9198, Precision:0.9556, Recall:0.8866                || Val - Loss:0.2593, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:22
Train - Loss:0.2692, Accuracy:0.9235, F1:0.9215, Precision:0.9362, Recall:0.9072                || Val - Loss:0.2592, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:23
Train - Loss:0.2449, Accuracy:0.9541, F1:0.9543, Precision:0.9400, Recall:0.9691                || Val - Loss:0.2453, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:24
Train - Loss:0.2281, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2347, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:25
Best model updated:  0.23471794500947
Train - Loss:0.2481, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2440, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:26
Train - Loss:0.2366, Accuracy:0.9541, F1:0.9538, Precision:0.9490, Recall:0.9588                || Val - Loss:0.2422, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:27
Train - Loss:0.2406, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2437, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:28
Train - Loss:0.2256, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2462, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:29
Train - Loss:0.2390, Accuracy:0.9541, F1:0.9529, Precision:0.9681, Recall:0.9381                || Val - Loss:0.2379, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:30
Train - Loss:0.2227, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2294, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:31
Best model updated:  0.2293609341606498
Train - Loss:0.2136, Accuracy:0.9643, F1:0.9634, Precision:0.9787, Recall:0.9485                || Val - Loss:0.2384, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:32
Train - Loss:0.2478, Accuracy:0.9286, F1:0.9286, Precision:0.9192, Recall:0.9381                || Val - Loss:0.2275, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:33
Best model updated:  0.22753552105277777
Train - Loss:0.2125, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2315, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:34
Train - Loss:0.2133, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2155, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:35
Best model updated:  0.21554273581132294
Train - Loss:0.2109, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2366, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:36
Train - Loss:0.2134, Accuracy:0.9694, F1:0.9694, Precision:0.9596, Recall:0.9794                || Val - Loss:0.2317, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:37
Train - Loss:0.2038, Accuracy:0.9694, F1:0.9694, Precision:0.9596, Recall:0.9794                || Val - Loss:0.2151, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:38
Best model updated:  0.2150896736420691
Train - Loss:0.1948, Accuracy:0.9643, F1:0.9637, Precision:0.9688, Recall:0.9588                || Val - Loss:0.2326, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:39
Train - Loss:0.2159, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2421, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:40
Train - Loss:0.2080, Accuracy:0.9592, F1:0.9592, Precision:0.9495, Recall:0.9691                || Val - Loss:0.2504, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:41
Train - Loss:0.2090, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2068, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:42
Best model updated:  0.2067912752740085
Train - Loss:0.2237, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2110, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:43
