cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.4902, Accuracy:0.8776, F1:0.8750, Precision:0.8842, Recall:0.8660                || Val - Loss:0.6597, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:1
Best model updated:  0.6596917018294335
Train - Loss:0.3652, Accuracy:0.9082, F1:0.9091, Precision:0.8911, Recall:0.9278                || Val - Loss:0.5736, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:2
Best model updated:  0.5735650390386582
Train - Loss:0.3377, Accuracy:0.8827, F1:0.8821, Precision:0.8776, Recall:0.8866                || Val - Loss:0.4598, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:3
Best model updated:  0.45983417257666587
Train - Loss:0.3331, Accuracy:0.8878, F1:0.8878, Precision:0.8788, Recall:0.8969                || Val - Loss:0.3701, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:4
Best model updated:  0.37010314464569094
Train - Loss:0.3218, Accuracy:0.8929, F1:0.8889, Precision:0.9130, Recall:0.8660                || Val - Loss:0.3332, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:5
Best model updated:  0.33315905667841433
Train - Loss:0.3196, Accuracy:0.8776, F1:0.8763, Precision:0.8763, Recall:0.8763                || Val - Loss:0.3108, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:6
Best model updated:  0.3107930287718773
Train - Loss:0.3036, Accuracy:0.9082, F1:0.9043, Precision:0.9341, Recall:0.8763                || Val - Loss:0.2936, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:7
Best model updated:  0.29362586606293917
Train - Loss:0.3131, Accuracy:0.9082, F1:0.9072, Precision:0.9072, Recall:0.9072                || Val - Loss:0.2763, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:8
Best model updated:  0.2762561537325382
Train - Loss:0.3004, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.2722, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:9
Best model updated:  0.27220876794308424
Train - Loss:0.2997, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.2844, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:10
Train - Loss:0.2975, Accuracy:0.9133, F1:0.9110, Precision:0.9255, Recall:0.8969                || Val - Loss:0.2770, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:11
Train - Loss:0.2891, Accuracy:0.9133, F1:0.9128, Precision:0.9082, Recall:0.9175                || Val - Loss:0.2629, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:12
Best model updated:  0.2628580253571272
Train - Loss:0.2801, Accuracy:0.9439, F1:0.9436, Precision:0.9388, Recall:0.9485                || Val - Loss:0.2569, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:13
Best model updated:  0.25691969841718676
Train - Loss:0.2826, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2651, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:14
Train - Loss:0.3097, Accuracy:0.8929, F1:0.8912, Precision:0.8958, Recall:0.8866                || Val - Loss:0.2768, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:15
Train - Loss:0.2772, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2571, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:16
Train - Loss:0.2699, Accuracy:0.9439, F1:0.9442, Precision:0.9300, Recall:0.9588                || Val - Loss:0.2503, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:17
Best model updated:  0.2502659412100911
Train - Loss:0.2622, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2502, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:18
Best model updated:  0.25015564505010845
Train - Loss:0.2661, Accuracy:0.9235, F1:0.9223, Precision:0.9271, Recall:0.9175                || Val - Loss:0.2635, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:19
Train - Loss:0.2630, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2443, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:20
Best model updated:  0.24426805041730404
Train - Loss:0.2646, Accuracy:0.9235, F1:0.9239, Precision:0.9100, Recall:0.9381                || Val - Loss:0.2468, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:21
Train - Loss:0.2685, Accuracy:0.9082, F1:0.9053, Precision:0.9247, Recall:0.8866                || Val - Loss:0.2567, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:22
Train - Loss:0.2635, Accuracy:0.9133, F1:0.9101, Precision:0.9348, Recall:0.8866                || Val - Loss:0.2560, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:23
Train - Loss:0.2553, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2489, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:24
Train - Loss:0.2378, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2333, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:25
Best model updated:  0.2332537980750203
Train - Loss:0.2545, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2374, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:26
Train - Loss:0.2413, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2407, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:27
Train - Loss:0.2466, Accuracy:0.9439, F1:0.9436, Precision:0.9388, Recall:0.9485                || Val - Loss:0.2477, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:28
Train - Loss:0.2304, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2478, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:29
Train - Loss:0.2522, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2351, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:30
Train - Loss:0.2281, Accuracy:0.9541, F1:0.9538, Precision:0.9490, Recall:0.9588                || Val - Loss:0.2186, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:31
Best model updated:  0.2185627435334027
Train - Loss:0.2206, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2475, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:32
Train - Loss:0.2578, Accuracy:0.9235, F1:0.9231, Precision:0.9184, Recall:0.9278                || Val - Loss:0.2361, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:33
Train - Loss:0.2242, Accuracy:0.9541, F1:0.9529, Precision:0.9681, Recall:0.9381                || Val - Loss:0.2268, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:34
Train - Loss:0.2239, Accuracy:0.9439, F1:0.9442, Precision:0.9300, Recall:0.9588                || Val - Loss:0.2291, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:35
Train - Loss:0.2242, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2472, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:36
Train - Loss:0.2254, Accuracy:0.9694, F1:0.9691, Precision:0.9691, Recall:0.9691                || Val - Loss:0.2268, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:37
Train - Loss:0.2255, Accuracy:0.9388, F1:0.9388, Precision:0.9293, Recall:0.9485                || Val - Loss:0.2108, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:38
Best model updated:  0.21079317536205053
Train - Loss:0.2100, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2253, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:39
Train - Loss:0.2322, Accuracy:0.9235, F1:0.9215, Precision:0.9362, Recall:0.9072                || Val - Loss:0.2474, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:40
Train - Loss:0.2288, Accuracy:0.9541, F1:0.9529, Precision:0.9681, Recall:0.9381                || Val - Loss:0.2370, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:41
Train - Loss:0.2265, Accuracy:0.9490, F1:0.9479, Precision:0.9579, Recall:0.9381                || Val - Loss:0.2146, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:42
Train - Loss:0.2428, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2225, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:43
