cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.5768, Accuracy:0.7704, F1:0.7239, Precision:0.8939, Recall:0.6082                || Val - Loss:0.6819, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:0.3524, Accuracy:0.8878, F1:0.8804, Precision:0.9310, Recall:0.8351                || Val - Loss:0.6249, Accuracy:0.6500, F1:0.4167, Precision:1.0000, Recall:0.2632 Epoch:2
Best model updated:  0.6248908162117004
Train - Loss:0.3181, Accuracy:0.8776, F1:0.8723, Precision:0.9011, Recall:0.8454                || Val - Loss:0.5204, Accuracy:0.8500, F1:0.8125, Precision:1.0000, Recall:0.6842 Epoch:3
Best model updated:  0.5204142786562442
Train - Loss:0.3087, Accuracy:0.8827, F1:0.8783, Precision:0.9022, Recall:0.8557                || Val - Loss:0.4307, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:4
Best model updated:  0.43066772297024725
Train - Loss:0.2906, Accuracy:0.8980, F1:0.8958, Precision:0.9053, Recall:0.8866                || Val - Loss:0.3593, Accuracy:0.8500, F1:0.8235, Precision:0.9333, Recall:0.7368 Epoch:5
Best model updated:  0.3593211561441422
Train - Loss:0.2833, Accuracy:0.8878, F1:0.8854, Precision:0.8947, Recall:0.8763                || Val - Loss:0.3157, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:6
Best model updated:  0.3157090127468109
Train - Loss:0.2552, Accuracy:0.9439, F1:0.9442, Precision:0.9300, Recall:0.9588                || Val - Loss:0.2802, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:7
Best model updated:  0.28023023921996354
Train - Loss:0.2804, Accuracy:0.9184, F1:0.9175, Precision:0.9175, Recall:0.9175                || Val - Loss:0.2589, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:8
Best model updated:  0.2589429418556392
Train - Loss:0.2681, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.2590, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:9
Train - Loss:0.2793, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.2596, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:10
Train - Loss:0.2559, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.2597, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:11
Train - Loss:0.2562, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2605, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:12
Train - Loss:0.2791, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2804, Accuracy:0.8500, F1:0.8235, Precision:0.9333, Recall:0.7368 Epoch:13
Train - Loss:0.2576, Accuracy:0.9235, F1:0.9239, Precision:0.9100, Recall:0.9381                || Val - Loss:0.2844, Accuracy:0.8500, F1:0.8235, Precision:0.9333, Recall:0.7368 Epoch:14
Train - Loss:0.2416, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2575, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:15
Best model updated:  0.25746436342597007
Train - Loss:0.2576, Accuracy:0.9082, F1:0.9072, Precision:0.9072, Recall:0.9072                || Val - Loss:0.2640, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:16
Train - Loss:0.2511, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2715, Accuracy:0.8500, F1:0.8235, Precision:0.9333, Recall:0.7368 Epoch:17
Train - Loss:0.2389, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2574, Accuracy:0.8750, F1:0.8571, Precision:0.9375, Recall:0.7895 Epoch:18
Best model updated:  0.25738771725445986
Train - Loss:0.2563, Accuracy:0.9133, F1:0.9101, Precision:0.9348, Recall:0.8866                || Val - Loss:0.2285, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:19
Best model updated:  0.22850337652489544
Train - Loss:0.2289, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2448, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:20
Train - Loss:0.2394, Accuracy:0.9388, F1:0.9362, Precision:0.9670, Recall:0.9072                || Val - Loss:0.2938, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:21
Train - Loss:0.2232, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2574, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:22
Train - Loss:0.2360, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2149, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:23
Best model updated:  0.2148824142292142
Train - Loss:0.2207, Accuracy:0.9388, F1:0.9388, Precision:0.9293, Recall:0.9485                || Val - Loss:0.2312, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:24
Train - Loss:0.2244, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2254, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:25
Train - Loss:0.2056, Accuracy:0.9388, F1:0.9388, Precision:0.9293, Recall:0.9485                || Val - Loss:0.2206, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:26
Train - Loss:0.2131, Accuracy:0.9337, F1:0.9319, Precision:0.9468, Recall:0.9175                || Val - Loss:0.2355, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:27
Train - Loss:0.2207, Accuracy:0.9235, F1:0.9206, Precision:0.9457, Recall:0.8969                || Val - Loss:0.2331, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:28
Train - Loss:0.2237, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2183, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:29
Train - Loss:0.2277, Accuracy:0.9388, F1:0.9388, Precision:0.9293, Recall:0.9485                || Val - Loss:0.2330, Accuracy:0.8750, F1:0.8571, Precision:0.9375, Recall:0.7895 Epoch:30
Train - Loss:0.2030, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2504, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:31
Train - Loss:0.2012, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2473, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:32
Train - Loss:0.2306, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2157, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:33
Train - Loss:0.1933, Accuracy:0.9694, F1:0.9694, Precision:0.9596, Recall:0.9794                || Val - Loss:0.2197, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:34
Train - Loss:0.2059, Accuracy:0.9235, F1:0.9223, Precision:0.9271, Recall:0.9175                || Val - Loss:0.2622, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:35
Train - Loss:0.2001, Accuracy:0.9592, F1:0.9579, Precision:0.9785, Recall:0.9381                || Val - Loss:0.2354, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:36
Train - Loss:0.2559, Accuracy:0.8980, F1:0.8925, Precision:0.9326, Recall:0.8557                || Val - Loss:0.2477, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:37
Train - Loss:0.1991, Accuracy:0.9643, F1:0.9634, Precision:0.9787, Recall:0.9485                || Val - Loss:0.2239, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:38
Train - Loss:0.2055, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2433, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:39
Train - Loss:0.1765, Accuracy:0.9694, F1:0.9688, Precision:0.9789, Recall:0.9588                || Val - Loss:0.2116, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:40
Best model updated:  0.21162593136541547
Train - Loss:0.2002, Accuracy:0.9541, F1:0.9529, Precision:0.9681, Recall:0.9381                || Val - Loss:0.2486, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:41
Train - Loss:0.2103, Accuracy:0.9592, F1:0.9592, Precision:0.9495, Recall:0.9691                || Val - Loss:0.2145, Accuracy:0.8750, F1:0.8571, Precision:0.9375, Recall:0.7895 Epoch:42
Train - Loss:0.2081, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2213, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:43
Train - Loss:0.1759, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2373, Accuracy:0.8750, F1:0.8571, Precision:0.9375, Recall:0.7895 Epoch:44
