cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.4875, Accuracy:0.8622, F1:0.8571, Precision:0.8804, Recall:0.8351                || Val - Loss:0.6585, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:1
Best model updated:  0.6584995642304421
Train - Loss:0.3636, Accuracy:0.9031, F1:0.9036, Precision:0.8900, Recall:0.9175                || Val - Loss:0.5721, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:2
Best model updated:  0.5721039310097694
Train - Loss:0.3359, Accuracy:0.8878, F1:0.8866, Precision:0.8866, Recall:0.8866                || Val - Loss:0.4595, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:3
Best model updated:  0.45947740897536277
Train - Loss:0.3272, Accuracy:0.9031, F1:0.9026, Precision:0.8980, Recall:0.9072                || Val - Loss:0.3768, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:4
Best model updated:  0.3767537333071232
Train - Loss:0.3132, Accuracy:0.8980, F1:0.8947, Precision:0.9140, Recall:0.8763                || Val - Loss:0.3430, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:5
Best model updated:  0.34297516755759716
Train - Loss:0.3154, Accuracy:0.8980, F1:0.8969, Precision:0.8969, Recall:0.8969                || Val - Loss:0.3189, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:6
Best model updated:  0.31894654408097267
Train - Loss:0.3038, Accuracy:0.9184, F1:0.9149, Precision:0.9451, Recall:0.8866                || Val - Loss:0.2957, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:7
Best model updated:  0.2957274351269007
Train - Loss:0.3115, Accuracy:0.9082, F1:0.9072, Precision:0.9072, Recall:0.9072                || Val - Loss:0.2838, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:8
Best model updated:  0.2837941175326705
Train - Loss:0.2944, Accuracy:0.8980, F1:0.8958, Precision:0.9053, Recall:0.8866                || Val - Loss:0.2812, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:9
Best model updated:  0.281188484467566
Train - Loss:0.2967, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.2916, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:10
Train - Loss:0.2889, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2772, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:11
Best model updated:  0.27715871576219797
Train - Loss:0.2909, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.2551, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:12
Best model updated:  0.255063249822706
Train - Loss:0.2823, Accuracy:0.9286, F1:0.9286, Precision:0.9192, Recall:0.9381                || Val - Loss:0.2593, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:13
Train - Loss:0.2680, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2701, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:14
Train - Loss:0.3174, Accuracy:0.8724, F1:0.8691, Precision:0.8830, Recall:0.8557                || Val - Loss:0.2607, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:15
Train - Loss:0.2729, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2575, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:16
Train - Loss:0.2722, Accuracy:0.9388, F1:0.9388, Precision:0.9293, Recall:0.9485                || Val - Loss:0.2519, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:17
Best model updated:  0.2518546831794083
Train - Loss:0.2578, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2534, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:18
Train - Loss:0.2552, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2584, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:19
Train - Loss:0.2635, Accuracy:0.9286, F1:0.9263, Precision:0.9462, Recall:0.9072                || Val - Loss:0.2413, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:20
Best model updated:  0.24128151629120112
Train - Loss:0.2669, Accuracy:0.9184, F1:0.9192, Precision:0.9010, Recall:0.9381                || Val - Loss:0.2439, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:21
Train - Loss:0.2584, Accuracy:0.9184, F1:0.9149, Precision:0.9451, Recall:0.8866                || Val - Loss:0.2549, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:22
Train - Loss:0.2760, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2766, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:23
Train - Loss:0.2532, Accuracy:0.9541, F1:0.9543, Precision:0.9400, Recall:0.9691                || Val - Loss:0.2455, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:24
Train - Loss:0.2349, Accuracy:0.9388, F1:0.9368, Precision:0.9570, Recall:0.9175                || Val - Loss:0.2325, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:25
Best model updated:  0.23251354796811938
Train - Loss:0.2532, Accuracy:0.9286, F1:0.9271, Precision:0.9368, Recall:0.9175                || Val - Loss:0.2352, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:26
Train - Loss:0.2395, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2534, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:27
Train - Loss:0.2478, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2450, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:28
Train - Loss:0.2320, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2608, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:29
Train - Loss:0.2392, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2385, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:30
Train - Loss:0.2321, Accuracy:0.9541, F1:0.9538, Precision:0.9490, Recall:0.9588                || Val - Loss:0.2263, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:31
Best model updated:  0.2263350050896406
Train - Loss:0.2193, Accuracy:0.9643, F1:0.9637, Precision:0.9688, Recall:0.9588                || Val - Loss:0.2444, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:32
Train - Loss:0.2539, Accuracy:0.9337, F1:0.9319, Precision:0.9468, Recall:0.9175                || Val - Loss:0.2270, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:33
Train - Loss:0.2232, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2233, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:34
Best model updated:  0.22329639531672002
Train - Loss:0.2179, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2269, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:35
Train - Loss:0.2162, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2356, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:36
Train - Loss:0.2146, Accuracy:0.9592, F1:0.9592, Precision:0.9495, Recall:0.9691                || Val - Loss:0.2420, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:37
Train - Loss:0.2049, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2200, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:38
Best model updated:  0.2200405031442642
Train - Loss:0.2037, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2297, Accuracy:1.0000, F1:1.0000, Precision:1.0000, Recall:1.0000 Epoch:39
Train - Loss:0.2162, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2322, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:40
Train - Loss:0.2074, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2578, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:41
Train - Loss:0.2155, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2042, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:42
Best model updated:  0.20423135180026292
Train - Loss:0.2215, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2189, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:43
