cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.4899, Accuracy:0.8878, F1:0.8854, Precision:0.8947, Recall:0.8763                || Val - Loss:0.6600, Accuracy:0.8750, F1:0.8485, Precision:1.0000, Recall:0.7368 Epoch:1
Best model updated:  0.6600083753466606
Train - Loss:0.3663, Accuracy:0.9031, F1:0.9045, Precision:0.8824, Recall:0.9278                || Val - Loss:0.5753, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:2
Best model updated:  0.5752695165574551
Train - Loss:0.3360, Accuracy:0.8827, F1:0.8783, Precision:0.9022, Recall:0.8557                || Val - Loss:0.4617, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:3
Best model updated:  0.46166807413101196
Train - Loss:0.3258, Accuracy:0.9082, F1:0.9072, Precision:0.9072, Recall:0.9072                || Val - Loss:0.3702, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:4
Best model updated:  0.37024648748338224
Train - Loss:0.3132, Accuracy:0.8980, F1:0.8958, Precision:0.9053, Recall:0.8866                || Val - Loss:0.3350, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:5
Best model updated:  0.3350082218647003
Train - Loss:0.3128, Accuracy:0.8827, F1:0.8796, Precision:0.8936, Recall:0.8660                || Val - Loss:0.3157, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:6
Best model updated:  0.31565560065209863
Train - Loss:0.2967, Accuracy:0.9184, F1:0.9149, Precision:0.9451, Recall:0.8866                || Val - Loss:0.2860, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:7
Best model updated:  0.2859892647713423
Train - Loss:0.3049, Accuracy:0.9286, F1:0.9271, Precision:0.9368, Recall:0.9175                || Val - Loss:0.2762, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:8
Best model updated:  0.27616357039660216
Train - Loss:0.3024, Accuracy:0.8980, F1:0.8947, Precision:0.9140, Recall:0.8763                || Val - Loss:0.2734, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:9
Best model updated:  0.2734003610908985
Train - Loss:0.2969, Accuracy:0.9133, F1:0.9110, Precision:0.9255, Recall:0.8969                || Val - Loss:0.2846, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:10
Train - Loss:0.2910, Accuracy:0.9133, F1:0.9101, Precision:0.9348, Recall:0.8866                || Val - Loss:0.2684, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:11
Best model updated:  0.2683949455618858
Train - Loss:0.2887, Accuracy:0.9133, F1:0.9128, Precision:0.9082, Recall:0.9175                || Val - Loss:0.2525, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:12
Best model updated:  0.2525275989435613
Train - Loss:0.2847, Accuracy:0.9184, F1:0.9184, Precision:0.9091, Recall:0.9278                || Val - Loss:0.2531, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:13
Train - Loss:0.2709, Accuracy:0.9490, F1:0.9479, Precision:0.9579, Recall:0.9381                || Val - Loss:0.2667, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:14
Train - Loss:0.3122, Accuracy:0.8776, F1:0.8750, Precision:0.8842, Recall:0.8660                || Val - Loss:0.2661, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:15
Train - Loss:0.2812, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2537, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:16
Train - Loss:0.2726, Accuracy:0.9337, F1:0.9340, Precision:0.9200, Recall:0.9485                || Val - Loss:0.2518, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:17
Best model updated:  0.2517634708434343
Train - Loss:0.2599, Accuracy:0.9439, F1:0.9436, Precision:0.9388, Recall:0.9485                || Val - Loss:0.2537, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:18
Train - Loss:0.2584, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2632, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:19
Train - Loss:0.2630, Accuracy:0.9337, F1:0.9319, Precision:0.9468, Recall:0.9175                || Val - Loss:0.2403, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:20
Best model updated:  0.2402704767882824
Train - Loss:0.2687, Accuracy:0.9235, F1:0.9246, Precision:0.9020, Recall:0.9485                || Val - Loss:0.2386, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:21
Best model updated:  0.2386356607079506
Train - Loss:0.2615, Accuracy:0.9133, F1:0.9091, Precision:0.9444, Recall:0.8763                || Val - Loss:0.2486, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:22
Train - Loss:0.2748, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2624, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:23
Train - Loss:0.2511, Accuracy:0.9490, F1:0.9479, Precision:0.9579, Recall:0.9381                || Val - Loss:0.2366, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:24
Best model updated:  0.2366016011685133
Train - Loss:0.2338, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2333, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:25
Best model updated:  0.23330172020941972
Train - Loss:0.2539, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2416, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:26
Train - Loss:0.2440, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2292, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:27
Best model updated:  0.22922750357538463
Train - Loss:0.2488, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2335, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:28
Train - Loss:0.2377, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2369, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:29
Train - Loss:0.2471, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2282, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:30
Best model updated:  0.22816425580531358
Train - Loss:0.2344, Accuracy:0.9490, F1:0.9479, Precision:0.9579, Recall:0.9381                || Val - Loss:0.2213, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:31
Best model updated:  0.2213445999659598
Train - Loss:0.2155, Accuracy:0.9745, F1:0.9741, Precision:0.9792, Recall:0.9691                || Val - Loss:0.2352, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:32
Train - Loss:0.2586, Accuracy:0.9184, F1:0.9175, Precision:0.9175, Recall:0.9175                || Val - Loss:0.2231, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:33
Train - Loss:0.2222, Accuracy:0.9592, F1:0.9583, Precision:0.9684, Recall:0.9485                || Val - Loss:0.2233, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:34
Train - Loss:0.2225, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2187, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:35
Best model updated:  0.21867666486650705
Train - Loss:0.2271, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2279, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:36
Train - Loss:0.2200, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2317, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:37
Train - Loss:0.2206, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2145, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:38
Best model updated:  0.214466995280236
Train - Loss:0.2050, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2180, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:39
Train - Loss:0.2283, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2291, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:40
Train - Loss:0.2200, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2338, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:41
Train - Loss:0.2240, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2045, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:42
Best model updated:  0.20453500323928892
Train - Loss:0.2368, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2139, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:43
